"all_restaurant","safety","taste","clean","service","speed","price"
"Swensons Food Truck",NA,0.687022900763359,NA,0.0592592592592593,0.953703703703704,NA
"Arcade Pizza",0.557851239669422,0.549618320610687,0.328638497652582,0.0518518518518519,0.0666666666666667,0.806306306306306
"Dairy Queen / Orange Julius",NA,NA,0.253521126760563,0.392592592592593,0.307407407407407,NA
"The Icehouse",NA,0.444656488549618,NA,0.3,0.248148148148148,NA
"Sakkio Japan",0.774793388429752,0.853053435114504,NA,NA,0.933333333333333,0.97972972972973
"BIBIBOP Asian Grill",0.789256198347107,0.83206106870229,0.539906103286385,0.374074074074074,0.892592592592593,0.662162162162162
"Namaste Momo Corner",0.545454545454545,0.870229007633588,NA,0.637037037037037,0.511111111111111,0.81981981981982
"Krispy krunchy chicken",NA,0.444656488549618,NA,NA,0.362962962962963,NA
"Blaze Fast-Fire'd Pizza",0.756198347107438,0.656488549618321,0.366197183098592,0.655555555555556,0.437037037037037,0.576576576576577
"McDonalds",0.223140495867769,0.0801526717557252,0.497652582159624,0.32962962962963,0.533333333333333,0.752252252252252
"Steak n' Shake",0.198347107438017,0.488549618320611,0.582159624413146,0.0259259259259259,0.0037037037037037,0.292792792792793
"Bombaychaat",0.355371900826446,0.809160305343511,0.671361502347418,0.474074074074074,0.666666666666667,0.734234234234234
"The Gorilla",0.466942148760331,0.633587786259542,0.0845070422535211,0.207407407407407,0.703703703703704,0.5
"Little Caesars Pizza",NA,NA,NA,0.903703703703704,0.148148148148148,0.86036036036036
"Kato's Cajun",0.65702479338843,0.129770992366412,0.875586854460094,0.0851851851851852,0.359259259259259,0.943693693693694
"StonePepper's Grill",0.402892561983471,0.0954198473282443,NA,0.462962962962963,0.107407407407407,0.720720720720721
"Golden Mountain Restaurant",0.243801652892562,0.389312977099237,0.624413145539906,0.407407407407407,0.559259259259259,0.27027027027027
"Tgi Fridays",0.367768595041322,0.301526717557252,0.450704225352113,0.437037037037037,0.0814814814814815,0.018018018018018
"Chop It Salad Co",0.00826446280991736,0.225190839694656,NA,0.825925925925926,0.981481481481482,NA
"Mr. Hero",0.696280991735537,0.683206106870229,0.957746478873239,0.955555555555556,0.285185185185185,0.234234234234234
"Madtown Chicken N' Fish",0.731404958677686,0.0458015267175573,0.145539906103286,0.211111111111111,0.251851851851852,0.0720720720720721
"Brighton Hot Dog Shoppe",0.855371900826446,0.286259541984733,0.854460093896714,0.644444444444444,0.844444444444444,0.608108108108108
"Go Pretzel",0.975206611570248,0.988549618320611,0.28169014084507,0.662962962962963,0.62962962962963,0.936936936936937
"Einstein Bros",0.62603305785124,0.362595419847328,NA,0.0703703703703704,0.133333333333333,0.0540540540540541
"Charleys Philly Steaks",0.727272727272727,0.0648854961832061,0.89906103286385,0.251851851851852,0.874074074074074,0.0990990990990991
"Rudy Martino Original House of Submarines",0.962809917355372,0.145038167938931,NA,0.7,NA,0.943693693693694
"Teriyaki Express",NA,NA,0.927230046948357,0.181481481481481,0.155555555555556,NA
"The Pierogi Palace",NA,0.885496183206107,NA,0.711111111111111,0.722222222222222,NA
"Auntie Anne's Pretzels",NA,0.17175572519084,NA,0.240740740740741,0.233333333333333,NA
"Cilantro Taqueria",0.851239669421488,0.896946564885496,0.173708920187793,0.611111111111111,0.8,0.765765765765766
"Flavors Famous Street Food",0.0206611570247934,0.919847328244275,0.875586854460094,0.866666666666667,0.444444444444444,0.990990990990991
"Hank's Table",0.0454545454545455,0.00763358778625954,NA,0.622222222222222,0.277777777777778,0.545045045045045
"Ohio City Burrito",0.669421487603306,0.652671755725191,0.309859154929577,0.607407407407407,0.633333333333333,0.698198198198198
"China Palace",0.144628099173554,0.385496183206107,0.380281690140845,0.318518518518519,0.577777777777778,0.441441441441441
"Electric Earth Cafe",0.56198347107438,0.603053435114504,0.544600938967136,0.403703703703704,0.377777777777778,0.184684684684685
"Blaze Fast Fire'd Pizza",0.826446280991736,0.698473282442748,0.52112676056338,0.814814814814815,0.907407407407407,0.684684684684685
"Brothers Pizza",0.5,0.538167938931298,0.276995305164319,0.4,0.337037037037037,0.202702702702703
"Tootie's Famous Italian Beef",0.247933884297521,0.904580152671756,0.262910798122066,0.67037037037037,0.474074074074074,0.558558558558559
"Applebee's Grill + Bar",0.268595041322314,0.122137404580153,0.605633802816901,0.555555555555556,0.111111111111111,0.355855855855856
"Wings Over Pittsburgh",0.297520661157025,0.358778625954198,0.295774647887324,0.292592592592593,0.681481481481481,0.603603603603604
"Moe's Southwest Grill",0.235537190082645,0.16793893129771,0.0328638497652582,0.225925925925926,0.455555555555556,0.189189189189189
"Cardello Pizza",0.173553719008264,0.480916030534351,0.267605633802817,0.133333333333333,0.6,0.522522522522523
"Winner's Fast Food",NA,0.853053435114504,NA,NA,0.82962962962963,0.97972972972973
"Smiles Chinese Food",0.460743801652893,0.0229007633587786,0.389671361502347,0.177777777777778,0.540740740740741,NA
"Blaze Fast-Fired Pizza",0.549586776859504,0.194656488549618,0.63849765258216,0.340740740740741,0.259259259259259,0.198198198198198
"Teddywedgers",0.417355371900826,0.625954198473282,NA,0.859259259259259,0.766666666666667,0.666666666666667
"Dog 'n Suds",0.18595041322314,0.416030534351145,NA,0.6,0.3,0.112612612612613
"Steak N Shake",NA,0.0725190839694656,0.0610328638497653,0.348148148148148,0.0111111111111111,0.0675675675675676
"Plaza Freeze & Linda's Restaurant",NA,NA,NA,NA,0.685185185185185,NA
"GetGo",0.921487603305785,NA,0.983568075117371,0.559259259259259,0.837037037037037,NA
"Culver's Frozen Custard",0.797520661157025,0.263358778625954,0.816901408450704,0.840740740740741,0.937037037037037,0.747747747747748
"Gianni's Pizza - Hankey Farms/Oakdale",NA,0.595419847328244,NA,0.201851851851852,0.725925925925926,NA
"The Midway",0.34297520661157,0.99618320610687,NA,0.651851851851852,0.062962962962963,0.900900900900901
"Krispy Krunchy Chicken",0.979338842975207,0.202290076335878,NA,0.111111111111111,0.57037037037037,0.837837837837838
"Portillo's Hot Dogs",0.227272727272727,0.377862595419847,0.215962441314554,0.244444444444444,0.177777777777778,0.40990990990991
"Casa Del Rio Express",0.93801652892562,0.690839694656489,0.948356807511737,0.996296296296296,0.985185185185185,NA
"Grandslam Pizza",0.683884297520661,0.419847328244275,0.389671361502347,0.696296296296296,0.925925925925926,0.837837837837838
"Choolaah Indian BBQ",0.702479338842975,0.812977099236641,0.887323943661972,0.625925925925926,0.940740740740741,0.626126126126126
"Freshii",0.946280991735537,0.774809160305344,0.657276995305164,0.685185185185185,0.948148148148148,0.274774774774775
"Pizza Hut",0.111570247933884,0.0916030534351145,0.356807511737089,0.00740740740740741,0.0185185185185185,0.211711711711712
"Eat'n Park",0.586776859504132,0.484732824427481,0.812206572769953,0.714814814814815,0.385185185185185,0.396396396396396
"Carhops",0.636363636363636,0.736641221374046,0.220657276995305,0.918518518518519,0.618518518518518,0.418918918918919
"Flame Urban Chicken Grill",0.863636363636364,0.858778625954199,0.863849765258216,0.311111111111111,0.855555555555556,0.774774774774775
"Fresh & Meaty Burgers",0.966942148760331,0.793893129770992,0.577464788732394,0.440740740740741,0.440740740740741,0.77027027027027
"The Chicken Run",0.909090909090909,0.648854961832061,NA,0.525925925925926,0.781481481481481,0.797297297297297
"Taco John's",0.285123966942149,0.099236641221374,0.211267605633803,0.107407407407407,0.196296296296296,0.027027027027027
"Dilly's Drive-In - Peninsula",NA,0.0572519083969466,0.741784037558685,0.914814814814815,0.944444444444444,0.0855855855855856
"Speedy's Grub Shack",0.00413223140495868,0.729007633587786,0.704225352112676,0.488888888888889,0.977777777777778,0.445945945945946
"Gyro Express",0.396694214876033,0.545801526717557,NA,0.266666666666667,0.47037037037037,0.648648648648649
"Dinner Bell",0.954545454545455,0.769083969465649,NA,0.966666666666667,0.903703703703704,NA
"Mas Amigos Truck",0.65702479338843,0.427480916030534,0.0422535211267606,0.618518518518518,0.807407407407407,0.0135135135135135
"Terrene",0.983471074380165,0.958015267175573,0.762910798122066,0.362962962962963,0.485185185185185,0.531531531531532
"TCBY",0.62603305785124,0.938931297709924,0.835680751173709,0.92962962962963,0.77037037037037,NA
"GetGo Caf & Market",0.683884297520661,0.320610687022901,0.140845070422535,0.933333333333333,0.9,0.716216216216216
"Johnny Hot Dog",NA,0.561068702290076,NA,0.125925925925926,0.655555555555556,NA
"Circle K",0.714876033057851,NA,0.586854460093897,0.314814814814815,NA,NA
"Burrito King",NA,NA,NA,0.874074074074074,0.896296296296296,NA
"Gyros and Wraps",0.929752066115702,0.973282442748092,0.807511737089202,0.785185185185185,NA,NA
"Mr Hero Restaurants",NA,0.67175572519084,1,0.95,0.218518518518519,NA
"Steak Escape West Towne Mall",0.954545454545455,0.679389312977099,0.927230046948357,0.992592592592593,1,NA
"Pizza Pan",0.871900826446281,0.952290076335878,0.835680751173709,0.940740740740741,0.87037037037037,NA
"El Gallo De Oro",0.0165289256198347,NA,0.0469483568075117,0.303703703703704,0.125925925925926,NA
"Snappy's Chill Grill",NA,0.900763358778626,NA,0.261111111111111,0.0222222222222222,NA
"Sa-Bai Thong",0.309917355371901,0.790076335877863,0.492957746478873,0.577777777777778,0.225925925925926,0.707207207207207
"Bearden's Restaurant",0.553719008264463,0.713740458015267,0.633802816901408,0.448148148148148,0.581481481481481,0.509009009009009
"Hot Sauce Williams Barbecue Restaurant",0.326446280991736,0.614503816793893,0.028169014084507,0.140740740740741,0.140740740740741,0.675675675675676
"Pizza 216",0.491735537190083,0.530534351145038,0.413145539906103,0.418518518518519,0.296296296296296,0.391891891891892
"Cheba Hut Toasted Subs",0.599173553719008,0.606870229007634,0.446009389671362,0.707407407407407,0.518518518518518,0.612612612612613
"Glaze Teriyaki",0.0661157024793388,0.721374045801527,0.685446009389671,0.411111111111111,0.911111111111111,0.157657657657658
"Sunset Pizza & Grille",0.607438016528926,0.778625954198473,0.676056338028169,0.97037037037037,0.614814814814815,NA
"Get Some Burritos",0.454545454545455,0.106870229007634,0.305164319248826,0.522222222222222,0.714814814814815,0.036036036036036
"Arnie's Public House",0.165289256198347,0.816793893129771,0.55868544600939,0.766666666666667,0.603703703703704,0.373873873873874
"Project: Pizza",0.764462809917355,0.889312977099237,0.549295774647887,0.381481481481481,0.848148148148148,0.567567567567568
"GetGo from Giant Eagle",0.119834710743802,0.141221374045802,0.427230046948357,0.118518518518519,0.162962962962963,0.400900900900901
"Mr. Beaners Drive-Thru Weiners",0.838842975206612,0.0419847328244275,0.0774647887323944,1,0.522222222222222,NA
"Chick-Fil-A",0.892561983471074,0.893129770992366,NA,0.962962962962963,0.988888888888889,NA
